Genres,Danceability (0-1),Tempo (BPM),Popularity (0-100),Key,Mode
baiao,0.5887857142857144,100.12364285714285,4.214285714285714,F,Major
bakersfield sound,0.6090424860646322,115.03651964138479,24.98297945926623,G,Major
balearic,0.6454358974358976,117.22697435897436,7.871794871794872,D,Major
balkan brass,0.53,117.8715,26.25,G,Major
balkan classical piano,0.35100000000000003,122.44483333333336,43.66666666666667,Gb,Minor
balkan hip hop,0.878,123.031,0.0,A,Major
ballet class,0.3427619047619048,113.90642857142859,44.85714285714285,Bb,Major
ballroom,0.3786029237895904,123.80581535409868,22.935651928985266,G,Major
baltic classical,0.2776,95.9319,16.0,F,Major
baltimore hip hop,0.762,92.947,68.0,F,Minor
baltimore indie,0.5253777777777778,139.90596666666667,53.83333333333334,Eb,Major
banda,0.6788912034331438,130.19902136535802,48.628089689070976,Bb,Major
banda caliente,0.6657413461538463,128.0478240384615,42.824038461538464,A,Major
banda carnavalera,0.6368500000000001,118.96903333333331,41.933333333333344,Eb,Major
bandinhas,0.6442000000000001,85.59880000000003,1.2,Ab,Major
bandolim,0.5858000000000001,106.03413333333332,9.666666666666666,C,Major
bandoneon,0.4983785714285714,118.14912857142859,15.585714285714285,G,Major
bangla,0.4952006005709266,102.0092668939394,0.3892171717171717,A,Major
banjo,0.5412823566827543,129.96717172699013,25.276234350659966,G,Major
bansuri,0.3133,104.9055,42.7,F,Major
barbadian pop,0.7251137292464879,113.01412107279691,46.49233716475096,Gb,Major
barbershop,0.5291111111111112,123.39444444444445,33.44444444444445,G,Major
bard,0.5096111111111111,120.25355555555555,34.94444444444445,Eb,Major
bardcore,0.515,126.4235,10.166666666666666,C,Major
barnemusikk,0.6509999999999999,90.555,29.0,Db,Major
barnmusik,0.6060750750750751,99.15078078078078,23.858858858858856,F,Major
barnsagor,0.6487612612612613,94.25461711711708,23.995495495495486,Db,Major
barockinterpreten,0.306,130.415375,35.25,Eb,Major
baroque,0.4164836993419645,100.79626947834092,16.3139613913292,G,Major
baroque brass,0.3906666666666667,99.72833333333334,41.0,F,Major
baroque cello,0.185,109.639,24.0,Gb,Major
baroque ensemble,0.3663279472016726,104.6592235256392,38.56662632937143,E,Major
baroque pop,0.4764374948887129,121.11845770111955,39.607826235831865,A,Major
baroque singing,0.193,107.44,50.0,E,Major
baroque violin,0.421375,105.42103472222223,35.3125,Gb,Major
barrelhouse piano,0.5596339743589743,152.04459326923075,4.857371794871796,G,Major
bass house,0.6418555555555555,130.76010130718956,19.45555555555556,A,Minor
bass music,0.592375,123.851375,38.625,Gb,Major
bass trap,0.6635883333333334,125.3204922222222,49.65333333333334,Db,Major
basshall,0.7577999999999999,131.6204,21.4,E,Major
bassline,0.7367083333333333,133.72724999999997,18.083333333333336,Db,Major
bath indie,0.6635,108.01999999999998,58.5,Db,Major
batida,0.861,119.984,0.0,B,Major
baton rouge rap,0.7153815218974865,125.23952341663092,42.675914382266285,Db,Major
battle rap,0.6769143482905983,106.86428372863249,43.83195512820512,Db,Major
bay area hip hop,0.8030625,123.8429375,23.25,Db,Major
bay area indie,0.5609666666666666,110.41280000000002,31.566666666666666,D,Major
bboy,0.6993208768873402,121.21446797328687,12.428397212543555,Bb,Major
bc underground hip hop,0.7264375000000001,126.21062500000002,33.3125,C,Major
beach music,0.5463298319327731,102.18123599439777,24.983193277310924,G,Major
beat italiano,0.485,111.60633333333332,38.0,D,Major
beat poetry,0.5351359649122807,100.6069605263158,24.653508771929822,Db,Major
beatboxing,0.7929999999999999,96.36266666666666,40.0,G,Major
beatlesque,0.5264698066037732,124.17651485084268,37.93628356727882,A,Major
beats,0.6925000000000001,166.50149999999996,2.0,B,Minor
bebop,0.5123587309254365,113.49828564808816,20.522318896767572,F,Major
bedroom pop,0.6095870133359262,113.45438329815828,64.13050173158868,C,Major
bedroom soul,0.6595402097902099,106.33513782051278,52.400932400932405,D,Major
belarusian electronic,0.4696666666666667,136.62366666666665,2.6666666666666665,Db,Major
belarusian indie,0.5980000000000001,152.44549999999995,64.5,Db,Major
belarusian pop,0.6,117.96,0.0,A,Major
belgian classical piano,0.389,106.51899999999998,0.0,Bb,Major
belgian contemporary classical,0.5619999999999999,119.75,45.5,F,Major
belgian dance,0.5755833333333333,133.14766666666665,17.333333333333336,E,Minor
belgian edm,0.6711880341880341,129.8698547008547,26.47863247863248,B,Minor
belgian indie,0.7064999999999999,141.9955,44.5,Bb,Major
belgian indie rock,0.7809999999999999,129.993,32.0,Bb,Minor
belgian jazz,0.5589230769230771,101.73546153846156,19.46153846153846,C,Major
belgian metal,0.17600000000000002,113.374,1.0,C,Major
belgian new wave,0.6433333333333333,120.2325,21.0,D,Major
belgian pop,0.7569999999999999,116.4715,56.75,Db,Minor
belgian rock,0.4906984126984127,130.7270873015873,24.63492063492064,C,Major
belgian singer-songwriter,0.4477499999999999,111.9595,44.0,Ab,Minor
belgian techno,0.8190000000000001,121.99700000000001,0.0,G,Major
belly dance,0.6081515994094489,124.20992458169287,23.207701771653547,D,Major
belo horizonte indie,0.628,96.837,0.0,C,Major
bengali folk,0.4404478260869566,118.64399999999999,0.1,G,Major
beninese pop,0.6629999999999999,90.17200000000001,41.0,Gb,Major
bergen indie,0.7200000000000001,142.79555555555558,67.33333333333333,Gb,Major
berlin minimal techno,0.81655,126.5609916666667,0.0,G,Major
berlin school,0.37884466666666666,118.70744666666664,24.72,D,Major
bhajan,0.5883105413105413,115.39811111111109,15.875356125356126,G,Major
bhangra,0.6938333333333334,138.40491666666665,9.666666666666666,Db,Major
bible,0.212,112.419,42.0,Bb,Minor
big band,0.5360960933419472,114.51281039106743,16.6389484924465,F,Major
big beat,0.6104680863580864,125.18876185675428,40.27343711843713,A,Major
big room,0.6041840452080502,128.49200366652306,25.53027532642537,G,Minor
binaural,0.486,64.26,60.0,Eb,Major
birmingham grime,0.6894333333333332,139.02560000000003,50.13333333333333,Bb,Minor
birmingham hip hop,0.5465,175.07300000000004,0.0,Ab,Minor
birmingham metal,0.4492903315412186,127.29580020609319,30.366989247311825,Db,Major
bitpop,0.6884999999999999,125.94964285714285,62.14285714285714,Db,Major
black 'n' roll,0.2763,131.190175,21.825,E,Major
black comedy,0.5950198135198136,111.15621416083916,23.51515151515152,Gb,Major
black metal,0.24061503267973855,132.05996833333333,31.30751633986928,B,Major
black punk,0.3831396825396826,128.01841269841273,28.365079365079364,G,Major
black sludge,0.354,135.765,3.0,D,Major
black thrash,0.2452783013205282,123.79104285714287,24.666446578631447,B,Major
blackened crust,0.17750000000000002,141.606,42.0,E,Major
blackened deathcore,0.4675277777777778,126.29470833333336,8.125,G,Major
blackgaze,0.32466666666666666,90.78866666666666,52.66666666666666,C,Minor
blasmusik,0.327,95.155,1.0,Eb,Major
bleep techno,0.5029444444444444,139.90827777777778,45.0,B,Minor
bluegrass,0.540490149865434,128.56793736002786,31.225600232782195,G,Major
bluegrass fiddle,0.4363546666666666,119.92913333333335,23.63333333333333,G,Major
bluegrass gospel,0.5752871947352398,130.44455938075848,28.724998138964203,A,Major
blues,0.5859317728867467,117.46914188884986,27.476832435119476,A,Major
blues latinoamericano,0.4616666666666666,113.08766666666668,47.33333333333334,D,Major
blues mexicano,0.3515,187.521,41.5,G,Major
blues rock,0.5191273264227578,123.41261153447668,33.159091209003876,A,Major
bmore,0.669912087912088,136.98503571428571,52.236263736263744,G,Major
bohemian baroque,0.812,125.73200000000001,0.0,B,Major
bolero,0.5604783058115077,112.84908171897888,35.769762114986634,F,Major
bolero cubano,0.5947196006607771,114.76823145155495,25.304298642533933,F,Major
bolero mexicano,0.5545949299639447,103.16098786638285,36.123864855620646,F,Major
bomba y plena,0.6740287228404876,108.16736027424484,15.859340222575517,F,Major
boogaloo,0.613479999492561,121.18137385005691,33.62448650561951,G,Major
boogie,0.6752666666666668,118.541675,28.43333333333333,Gb,Major
boogie-woogie,0.617840175129881,122.51767500654644,16.959656496145467,C,Major
boom bap,0.6676392467181941,117.95545929947248,44.568365844681644,Db,Minor
bosnian electronic,0.8603333333333333,124.663,0.0,Bb,Minor
bossa nova,0.5575523117510623,114.64504837152631,33.289365820387296,F,Major
bossa nova jazz,0.6082,105.77119999999998,34.7,G,Major
boston folk,0.5885,127.54866666666668,29.33333333333333,G,Major
boston hardcore,0.556202380952381,104.78911904761904,25.345238095238088,Db,Major
boston hip hop,0.6921045454545454,117.41826666666664,39.695454545454545,B,Major
boston indie,0.4595,83.50299999999999,55.5,Bb,Major
boston metal,0.42242307692307696,134.62276923076922,46.884615384615394,Bb,Major
boston punk,0.4749944784382283,107.61483843240093,23.883668414918407,B,Major
boston rock,0.4916354885535921,128.54769747968504,39.162037253933796,A,Major
bounce,0.8028148567119154,126.27955849358976,17.38362556561086,G,Major
bouncy house,0.5886666666666667,151.44475000000003,21.33333333333333,G,Major
bouzouki,0.5508829279279278,120.70775472972971,10.273153153153153,G,Major
bow pop,0.4339150640097253,119.88656230563898,39.83254421919296,D,Major
boy band,0.6342996342044628,116.76438563221964,47.10372485959521,C,Major
boy pop,0.703,121.016,51.0,A,Major
boy soprano,0.16899999999999998,85.3295,21.5,Ab,Major
brain waves,0.5166666666666667,121.41666666666669,26.66666666666667,F,Minor
braindance,0.3828125,126.10428125,23.140625,A,Minor
brass band,0.5382243589743589,111.54599358974359,27.166666666666664,F,Major
brass ensemble,0.4338622448979592,101.06845238095238,19.08333333333333,Bb,Major
brass quintet,0.47675,117.2435,21.5,Eb,Major
